A319KKK,AtlasJet (KKK)
A319KNE,Nas Air (KNE)
A319KZN,Air Nomad VA (KZN)
A319KZR,Air Astana (KZR)
A319LAN,Lan Chile (LAN)
A319LBT,Nouvelair (LBT)
A319LBY,Belle Air (LBY)
A319LGX,Ligurian Air VA (LGX)
A319LST,Lusitaniair VA (LST)
A319LXR,Air Luxor (LXR)
A319LZB,Bulgaria Air (LZB)
A319MAU,Air Mauritius (MAU)
A319MAV,Matsakoni VA (MAV)
A319MGL,Mongolian Airlines (MGL)
A319MHL,Millenium Air VA (MHL)
A319MOV,Vim Airlines (MOV)
A319MVS,MVS VA (MVS)
A319MXA,Mexicana (MXA)
A319MXAOLD,Mexicana (Old) (MXA)
A319NKS,Spirit Airlines (NKS)
A319NKS2,Spirit Airlines (all yellow) (NKS)
A319NLY,Fly Niki (NLY)
A319NLY2,Fly Niki (Air Berlin) (NLY)
A319NMB,Air Namibia (NMB)
A319NPV,Napulevola VA (NPV)
A319NWA,Northwest Airlines (NWA)
A319OAL,Olympic Air (OAL)
A319OAL2,Olympic Air (CFM) (OAL)
A319ONE,Avianca Brasil (ONE)
A319PAL,Philippine Airlines (PAL)
A319QTR,Qatar Airways (QTR)
A319RBA,Royal Brunei Airlines (RBA)
A319RJA,Royal Jordanian (RJA)
A319RJA2,Royal Jordanian (Oneworld) (RJA)
A319RLU,RusLine (RLU)
A319RNV,Armavia (RNV)
A319ROU,Air Canada Rouge (ROU)
A319RSD,Russia Special Detachment (RSD)
A319SAA,South African Airlines (SAA)
A319SAB,Sabena (SAB)
A319SAS,Scandinavian Airlines (SAS)
A319SAS2,Scandinavian Airlines (retro) (SAS)
A319SBI,S7 Airlines (SBI)
A319SBI2,S7 Airlines (Oneworld) (SBI)
A319SDM,Rossiya (SDM)
A319SFW,Safi Airways (SFW)
A319SSV,Skyservice (SSV)
A319SUN,Sunland Holdings VA (SUN)
A319SVR,Ural Airlines (SVR)
A319SWR,Swiss Airlines (SWR)
A319TAE,TAME Ecuador (TAE)
A319TAI,Taca International Airlines (TAI)
A319TAI2,Taca International Airlines (StarAlliance) (TAI)
A319TAI3,Taca International Airlines - Avianca Costa Rica (TAI)
A319TAK,Tatarstan Airlines (TAK)
A319TAM,TAM Linhas Aereas (CFM) (TAM)
A319TAM2,TAM Linhas Aereas (retro) (TAM)
A319TAM3,TAM Linhas Aereas (retro - blue tail) (TAM)
A319TAM4,TAM - Linhas Aereas (TAM)
A319TAM5,TAM - Linhas Aereas (TAM)
A319TAP,TAP Air Portugal (TAP)
A319TAP2,Transportes Aereos Portugueses (TAP)
A319TAR,Tunis Air (TAR)
A319TBA,Tibet Airlines (TBA)
A319TCA,Tunis Carthage VA (TCA)
A319TCW,Thomas Cook Airlines Belgium (TCW)
A319THY,Turkish Airlines (THY)
A319TPU,Avianca Peru (TPU)
A319TWS,True Wings VA (TWS)
A319UAL,United Airlines (UAL)
A319UAL2,United Airlines (Default aircraft) (UAL)
A319UKN,Ukraine Air Enterprise (UKN)
A319VLG,Vueling Airlines (VLG)
A319VOI,Volaris (VOI)
A319VOI2,Volaris (Loris) (VOI)
