DHC1ZZZ2,Privately Owned (G-AOSF)
DHC1ZZZ3,Privately Owned (N861WP)
DHC4,Royal Australian Air Force
DHC6,Default
DHC6AES,ACES Colombia (AES)
DHC6AFS,Senegal Air Force VA (AFS)
DHC6ALZ,AlAndalus Airlines VA (ALZ)
DHC6ANQ,Aerolinea de Antioquia (ANQ)
DHC6AWV,Air Wallonie VA (AWV)
DHC6CAY,Cayman Airways (CAY)
DHC6COL,Colonia Air VA (COL)
DHC6DSB,Air Senegal (DSB)
DHC6EMR,Emerald Air VA (EMR)
DHC6GUY,Air Antilles Express (GUY)
DHC6KVL,CARAVAiles (KVL)
DHC6LAL,Air Labrador (LAL)
DHC6MDG,Air Madagascar (MDG)
DHC6MWG,MASwings (MWG)
DHC6PVI,PVI Airlines VA (PVI)
DHC6SEY,Air Seychelles (S7-AAR) (SEY)
DHC6SEY2,Air Seychelles (S7-CUR) (SEY)
DHC6SEY3,Air Seychelles (S7-AAJ) (SEY)
DHC6SOL,Solomon Airlines (SOL)
DHC6TAF,Tropic Air VA (TAF)
DHC6TAH,Air Moorea (TAH)
DHC6WIA,Windward Islands Airways International (WIA)
DHC6XLK,Safarilink (XLK)
DHC7,Default
DHC7AIZ,Arkia Israel Inland Airlines (AIZ)
DHC7GRL,Gronlandsfly (GRL)
DHC7ISC,Island Air Charters (ISC)
DHC7PAS,Pelita Air (PAS)
DHC7ULA,Zuliana de Aviación (ULA)
DHC7VCV,Conviasa VA (VCV)
DR40,General Aviation (F-GTPH)
DR40ALA,AeroClub L'Aquila Virtual (ALA)
DR40BSV,BlueSky VA (BSV)
DR40ZZZBLU,Blue
DR40ZZZGRN,Green
DV20,General Aviation
DV20CGL,Seagle Air (flying school - OM-HLK) (CGL)
DV20CGL2,Seagle Air (flying school - OM-KAT) (CGL)
DV20ZZZ,General Aviation (OE-AGX) (ZZZ)
E120AFR,Air France (AFR)
E120AXL,Air Exel Netherlands (AXL)
E120BAW,British Airways (BAW)
E120BPS,Budapest Air Services (BPS)
E120BRS,Brazilian Air Force (BRS)
E120BRS2,Brazilian Air Force (grey - BRS)
E120GLA,Great Lakes Aviation (GLA)
E120HSK,Sky Europe (HSK)
E120MED,Mediterranea Virtual Airlines (MED)
E120MLD,Air Moldova (MLD)
E120PTB,Passaredo Transportes Aereos (PTB)
E120RLE,Rico Linhas Aereas (RLE)
E120RLU,RusLine (RLU)
E120RSL,RioSul (RSL)
E120SKW,SkyWest Airlines (United Express) (SKW)
E120SKW2,SkyWest Airlines (SKW)
E120SWT,Swiftair (SWT)
E120SWT2,Swiftair (white nose) (EC-HAK) (SWT)
E120TAE,Transportes Aereos Militares Ecuatorianos (TAE)
E120TBA,TransBrasil Virtual VA (TBA)
E120TIB,TRIP Linhas Aereas (TIB)
E120TIB2,TRIP Brasil (TIB)
E120UAL,United Airlines Express (UAL)
E120VEP,Vesper Linhas Aereas VA (VEP)
E135,General Aviation
E135ABP,ABS Jets (ABP)
E135BAF,Belgian Air Force (BAF)
E135CHQ,Chautauqua Airlines (Midwest Connect) (CHQ)
E135DCS,Daimler Chrysler VA (DCS)
E135EGF,American Eagle (EGF)
E135EZE,Eastern Airways UK (white) (G-CGMC) (EZE)
E135EZE2,Eastern Airways UK (white and blue) (G-CGMB) (EZE)
E135HAF,Hellenic Air Force (HAF)
E135JGO,JetGo Australia (JGO)
E135LGL,Luxair (LGL)
E135LNK,South African Airlink (LNK)
E135LNK2,South African Airlink (cyan; blue and red tail) (ZS-SNX) (LNK)
E135NMB,Air Namibia (NMB)
E135PTB,Passaredo Transportes Aereos (PTB)
E135RAE,Regional (RAE)
E135SDR,City Airline (SDR)
E135VIP,Tag Aviation UK (VIP)
E135ZZZ,Privately owned (Intel Corp.)
E145,ERJ-145 Factory paint
E145ASQ,ExpressJet (United Express) (ASQ)
E145AWE,US Airways (AWE)
E145AXL,Bonair EXEL (AXL)
E145AZA,Alitalia (AZA)
E145BAF,Belgian Airforce (BAF)
E145BAW,British Airways (BAW)
E145BHA,Bohemia Airlines VA (BHA)
E145BMA,British Midland (BMA)
E145BRS,Brazilian Air Force (BRS)
E145CHQ,Chautauqua Airlines (Delta Connection) (CHQ)
E145CHQ2,Chautauqua Airlines (US Airways Express) (CHQ)
E145CSC,Sichuan Airliners (CSC)
E145CSN,China Southern Airliners (CSN)
E145DAL,Delta Airlines (DAL)
E145EGF,American Eagle (EGF)
E145EGF2,American Eagle (old colours) (EGF)
E145ESH,European Air Shuttle VA (ESH)
E145EZE,Eastern Airways (EZE)
E145FAM,Mexican Air Force VA (FAM)
E145FCM,FinnComm Airlines (FCM)
E145FFT,Frontier Airlines (FFT)
E145FNB,Força Nacional do Brasil (FNB)
E145FWI,Air Caraibes (Caribeene de Transport) (FWI)
E145LCT,TAR Aerolineas (LCT)
E145LGA,LagunAir (LGA)
E145LGL,Luxair (LGL)
E145LOF,Trans State Airlines (United Express) (LOF)
E145LOT,LOT Polish (LOT)
E145MAV,Matsakoni Airlines VA (MAV)
E145MHL,Millenium Air VA (MHL)
E145NSE,Satena (NSE)
E145PGA,Portugalia (PGA)
E145PTB,Passaredo Transportes Aereos (PTB)
E145QAK,Patito VA (QAK)
E145RAE,Regional (RAE)
E145RSL,RioSul Brasil (RSL)
E145RUS,Cirrus Airlines (RUS)
E145SDR,City Airline (SDR)
E145SKX,Skyways (SKX)
E145SLI,AeroMéxico Connect (SLI)
E145SLI2,AeroMexico Connect (AeroLiteral) (SLI)
E145SLI3,AeroMexico Connect (SkyTeam) (SLI)
E145SUN,Sunland Holdings VA (SUN)
E145SWI,Sunwings Express VA (SWI)
E145SWR,Swiss (SWR)
E145UAL,United Airlines (UAL)
E145UDN,Dniproavia (UDN)
E145XAS,Alair VA (XAS)
E170,Embraer Domonstrator E170
E170AHY,Azerbaijan Airlines (AHY)
E170AWE,US Airways (AWE)
E170BFP,BalkanFly VA (BFP)
E170BRU,Belavia (BRU)
E170CEL,Caeli VA (CEL)
E170CFE,Cityflyer Express (CFE)
E170CNS,Conesul VA (CNS)
E170CPZ,Compass Airlines (Delta Connection) (CPZ)
E170CYL,Alitalia Cityliner (CYL)
E170ELL,Estonian (ELL)
E170FCM,FinnComm Airlines (FCM)
E170FDA,Fuji Dream Airlines (red) (FDA)
E170FDA2,Fuji Dream Airlines (blue) (FDA)
E170FDA3,Fuji Dream Airlines (green) (FDA)
E170FDA4,Fuji Dream Airlines (pink) (FDA)
E170FDA5,Fuji Dream Airlines (orange) (FDA)
E170FDA6,Fuji Dream Airlines (purple) (FDA)
E170FFT,Frontier Airlines (FFT)
E170FIN,Finnair (FIN)
E170FIN2,Finnair (new c/s) (FIN)
E170GFA,Gulf Air (GFA)
E170HAM,Hamburg Air (HAM)
E170HES,Hesperia (E175) HES)
E170HOP,Hop! (HOP)
E170JLJ,Japan Airlines Domestic  (JLJ)
E170KQA,Kenya Airways (KQA)
E170LEP,Air Costa (LEP)
E170LOT,LOT Polish Airlines (Embraer 170) (LOT)
E170LOT2,LOT Polish Airlines (Government) (LOT)
E170LOT3,LOT Polish Airlines (Krakaow & Malopolska) (LOT)
E170LOT4,LOT Polish Airlines (Embraer 175) (LOT)
E170LOTSTA,LOT Polish Airlines (Star Alliance) (LOT)
E170MSE,Egyptair Express (MSE)
E170NSE,Satena (NSE)
E170OMA,Oman Air (OMA)
E170PEV,Altenrhein Luftfahrt	 (PEV)
E170RAE,Regional (RAE)
E170RJA175,Royal Jordanian (E175) (RJA)
E170RPA,Republic Airlines (American Eagle) (RPA)
E170RUS,Cirrus Airlines (RUS)
E170SAU,SAPCO VA (SAU)
E170SLI,AeroMéxico Connect (SLI)
E170SLI2,AeroMéxico Connect (Skyteam) (SLI)
E170SLI3,AeroMexico Connect (ERJ175) (SLI)
E170SMX,Alitalia Express (SMX)
E170SVA,Saudi Arabian Airlines (SVA)
E170SVA2,Saudi Arabian Airlines (SVA)
E170TAE,Transportes Aereos Militares Ecuatorianos (TAE)
E170TBA,TransBrasil Virtual VA (TBA)
E170TCF,Shuttle America (Delta Connection) (TCF)
E170TCF2,Shuttle America (United Express) (TCF)
E170TIB175,TRIP Linhas Aereas (E175) (TIB)
E170VBW,Air Burkina (VBW)
E170VIP,Virtual Pilots Association VA (VIP)
E190,Embraer Demonstrator
E190ABZ,Air Transport Atlantic VA (ABZ)
E190ACA,Air Canada (ACA)
E190AEA,Air Europa (blue tail) (AEA)
E190AEA195,Air Europa (E195) (AEA)
E190AEA2,Air Europa (old colors) (AEA)
E190AHY,Azerbaijan Airlines (AHY)
E190AIZ195,Arkia Israeli Airlines (E195) (AIZ)
E190AMZ,Amazon Group VA (AMZ)
E190AUA,Austrian Airlines (AUA)
E190AUB,Augsburg Airways (white) (AUB)
E190AUB195,Augsburg Airways (Embraer 195) (D-AEME) (AUB)
E190AUI,Ukraine International Airlines (AUI)
E190AUR,Aurigny Air Services (AUR)
E190AUT,Austral Lineas Aereas (AUT)
E190AWE,US Airways (AWE)
E190AYC,Aviaco (AYC)
E190AZA,Alitalia (AZA)
E190AZU,Azul Linhas Aéreas Brasileiras (AZU)
E190AZU195,Azul Linhas Aéreas Brasileiras (E195) (AZU)
E190AZU2,Azul Linhas Aéreas Brasileiras (Tudo Azul) (AZU)
E190AZU3,Azul Linhas Aéreas Brasileiras (Nestle) (AZU)
E190AZU4,Azul Linhas Aereas (red stripe) (AZU)
E190AZU5,Azul Linhas Aereas (yellow stripe) (AZU)
E190BBO,Flybaboo (BBO)
E190BEE195,Flybe (E195) (BEE)
E190BFP195,BalkanFly VA (BFP)
E190BRS,Brazilian Air Force (BRS)
E190BRU,Belavia (BRU)
E190CFE,Cityflyer Express (CFE)
E190CLH,Lufthansa CityLine (CLH)
E190CLH195,Lufthansa CityLine (E195) (CLH)
E190CMP,Copa Airlines (CMP)
E190COJ,Coljet VA (COJ)
E190CSN,China Southern Airlines (CSN)
E190CYL,Alitalia Cityliner (CYL)
E190CYL2,Alitalia Cityliner (Sky Team) (CYL)
E190DFL,DutchFly VA (DFL)
E190DLA,Air Dolomiti (DLA)
E190DLI,Dalia Air (DLI)
E190DSY,Dream Sky Airlines VA (DSY)
E190EAS,European Airwings (EAS)
E190FFT,Frontier Airlines (FFT)
E190FIN,Finnair (FIN)
E190FIN2,Finnair (new c/s) (FIN)
E190FIN3,Finnair (Oneworld) (FIN)
E190GCR,Tianjin Airlines (GCR)
E190HOP,Hop! (HOP)
E190JAF,JetAirFly (JAF)
E190JBU,JetBlue Airways (Mosaic) (JBU)
E190JBU2,JetBlue Airways (Dots) (JBU)
E190KFY195,Kafly VA (E195) (KFY)
E190KLM,KLM Royal Dutch Airlines (New Colours 2014) (KLM)
E190KLM2,KLM Royal Dutch Airlines (Old Colours) (KLM)
E190KLM3,KLM Royal Dutch Airlines (Skyteam) (KLM)
E190KLS,Kalstar Aviation (KLS)
E190KLS2,Kalstar Aviation (Adventure Borneo) (KLS)
E190KNE,Flynas (KNE)
E190KQA,Kenya Airways (KQA)
E190KZR,Air Astana (KZR)
E190LAM,Linhas Aereas de Mocambique (LAM)
E190LEP,Air Costa (LEP)
E190LGX,Ligurian Air VA (E195) (LGX)
E190LJB,Al Jabeer (LJB)
E190LOT,LOT Polish Airlines (LOT)
E190LZB,Bulgaria Air (LZB)
E190MDA,Mandarin Airlines (MDA)
E190MGX,Montenegro Airlines (MGX)
E190MGX195,Montenegro Airlines (MGX)
E190MLD,Air Moldova (MLD)
E190NLY,Fly Niki (NLY)
E190OAW,Helvetic Airways (OAW)
E190PVI,PVI Airlines VA (PVI)
E190RAE,Regional (RAE)
E190RJA195,Royal Jordanian (E195) (RJA)
E190RPB,Aerorepublica (RPB)
E190SLI,AeroMéxico Connect (SLI)
E190SLI2,AeroMexico Connect (SLI)
E190SOV,Saratov Airlines (SOV)
E190SUN,Sunland Holdings VA (SUN)
E190TAE,Transportes Aereos Militares Ecuatorianos (TAE)
E190TAI,Taca International Airlines (TAI)
E190TIB,TRIP Linhas Aereas (TIB)
E190UBA,Myanmar Airways (UBA)
E190USW,US Airwings VA (USW)
E190VBD,Va Bird VA (VBD)
E190VCV,Conviasa Virtual (VCV)
E190VNS,Venus VA (VNS)
E190VOZ,Virgin Blue Airlines (VOZ)
E190VOZ2,Virgin Blue (Aus. Football League) (VOZ)
E190VOZ3,Virgin Australia (VOZ)
E190ZZZ,Flemming House
E300,Extra 300L
E3CF,NATO (AEWC)
E3CF@UL,US Air Force (Tinker AFB)
E3CF@UL2,US Air Force (Kadena AFB)
E3CFFAF,French Air Force (FAF)
E3CFRFR,Royal Air Force (RFR)
E3CFRSF,Royal Saudi Air Force (RSF)
E45X,ERJ-145XR Factory paint
E50P,Embraer (House Colours) (EMB)
E50PBJU,AeroJet Airlines (BJU)
E50PFLJ,Flairjet (G-NUDD) (FLJ)
E50PZZZ,Privately Owned (OO-MAS)
E50PZZZ2,Privately Owned (SV-AVP)
E50PZZZ3,Privately Owned (OH-EPA)
E50PZZZ4,Privately Owned (N288DX)
E50PZZZ5,Privately Owned (PR-CPC)
E50PZZZ6,Privately Owned (PR-FIL)
E50PZZZ7,Privately Owned (PT-TAT)
EC20ASP,ALA78 VA (ASP)
EC20ECF,Eurocopter
EC20ZZZ,Heli Gotthard (HB-ZFM)
EC20ZZZ2,BB Heli AG (HB-ZBB)
EC30@SW,Eurocopter Swiss Helicopter
EC35@AD,ADAC German Automobil Club Rescue
EC35@BA,Eurocopter Bundesministerium Austria
EC35@CL,Carilion Life Guard Helicopter
EC35@CZ,Policie Czech Republic
EC35@DS,Delta System Air
EC35@HL,Health Medivac
EC35@MT,Mobiel Medisch Team (PH-PXA) (blue) (@MT)
EC35@MT2,Mobiel Medisch Team (yellow) (PH-ELP) (@MT)
EC35@NP,Netherlands Police (PH-PXA) (@NP)
EC35@OE,OEAMTC Christophorus Flight Rescue
EC35@OEALP,OEAMTC Alpin Rescue (OE-XAH)
EC35@SA,Spanish Army
EC35@SC,Securite Civile
EC35AMB,DRF Luftrettung (AMB)
EC35AZF,Air Zermatt
EC35BPO,BundesPolizei (BPO)
EC35CHX,Hubschrauber im Luftrettungsdienst (CHX)
EC35CYB,Cyver Air VA (CYB)
EC35ECF,Eurocopter
EC35ECFECD,Eurocopter Deutschland GmBH Flight Test
EC35GAM,German Army (GAM)
EC35PLC,Eurocopter GB Essex Police Aviation Services
EC35HLC,Helicap (SAMU42)
EC35LEU,Lions Air (LEU)
EC35NPS,Nephis VA (NPS)
EC35PHM,Petroleum Helicopters (Aircare Medevac) (PHM)
EC35RHD,Devon Air Ambulance
EC35RHD2,Midlands Air Ambulance
EC35RHD3,Hampshire & Isle of Wight Air Ambulance
EC35RHD4,North West Air Ambulance
EC35RHD5,Scottish Ambulance Service
EC35RHD6,Thames Valley & Chiltern Air Ambulance
EC35SAZ,Swiss Air Ambulance (SAZ)
EC35SMU,SAMU Helicopters (SMU)
EC35SUI,Swiss Air Force (SUI)
EC35UKP,UK Police (Merseyside) (UKP)
EC45@DH,Christoph München (D-HDRR)
EC45@OE,Eurocopter OEAMTC Rescue
EC45@SC,Securite Civile
EC45ARC,Arcade Air Provence VA (ARC)
EC45SAZ,Swiss Air Ambulance (HB-ZRA) (SAZ)
ETAR,Dassault Super Etendard (French Navy) (Default aircraft) (FNY)
ETARFNY100,Dassault Super Etendard (French Navy - 100 years Charles De Gaulle) (Default aircraft) (FNY)
EUFIAME,Spanish Air Force (AME)
EUFIASF,Austrian Air Force (ASF)
EUFIGAF,German Air Force (GAF)
EUFIIAM,Italian Air Force (IAM)
EUFIRFR,Royal Air Force (RFR)
EUFIRFR2,Royal Air Force (41 SQN) (RFR)
EUFIRFR3,Royal Air Force (3 SQN) (RFR)
EUFIRFR4,Royal Air Force (11 SQN) (RFR)
EUFIRFR5,Royal Air Force (29 SQN) (RFR)
EUFIRFR6,Royal Air Force (6 SQN) (RFR)
EV97,General Aviation (OK-GUR)
EV97ZZZ,General Aviation (OK-JUR-77)
EV97ZZZ2,General Aviation (OK-LUR-07)
EV97ZZZ3,General Aviation (EC-ES8)
EV97ZZZ4,General Aviation (OK-JUR-20)
EXPL,Wiltshire Police & Air Ambulance
EXPL@AD,ADAC German Automobil Club Rescue
EXPL@AR,Alpine Rescue
EXPL@IA,International Air Ambulanz
EXPLHLE,Essex & Hertfordshire Air Ambulance (G-EHAA)
EXPLHLE2,Yorkshire Air Ambulance
EXPLHLE3,Essex & Hertfordshire Air Ambulance (G-HAAT)
EXPLHLE4,Kent Air Ambulance
EXPLHLE5,London Air Ambulance
EXPLHLE6,Lincolnshire & Nottinghamshire Air Ambulance
F100AAL,American Airlines (AAL)
F100AEQ,Air Express Sweden (AEQ)
F100AFR,Air France - CCM (AFR)
F100AGN,Air Gabon (AGN)
F100ALZ,AlAndalus Airlines VA (ALZ)
F100ANG,Air Niugini (ANG)
F100ANG2,Air Niugini (ANG)
F100ATV,Avanti Air (ATV)
F100AUA,Austrian Arrows (AUA)
F100AVA,Avianca (AVA)
F100AVB,Default 2nd version (Avianca - AVB)
F100AVT,Avanti Air (AVT)
F100AWE,US Airways (AWE)
F100BAG,Deutsche BA (BAG)
F100BAG2,Deutsche BA (old blue and white painting) (BAG)
F100BEK,Bek Air (BEK)
F100BER,Air Berlin (BER)
F100BMA,British Midland (BMA)
F100BMA2,British Midland (BMA)
F100BXS,SPANTAX LAV (BXS)
F100BZH,BritAir (Air France) (BZH)
F100CBE,MexicanaClick (CBE)
F100CBE2,MexicanaClick (Click Mexicana old painting) (CBE)
F100CBE3,MexicanaClick (Vive Mexico) (CBE)
F100CBE4,MexicanaClick (Office Depot) (CBE)
F100CBE5,MexicanaClick (Click Mexicana - white tail) (CBE)
F100CBE6,MexicanaClick (MexicanaGo) (CBE)
F100CCM,Compagnie Corse Mediterrannee (CCM)
F100DNL,Dutch Antilles Express (DNL)
F100DNL2,Dutch Antilles Express (white tail) (DNL)
F100DNM,Denim Air (DNM)
F100EGS,Eagles Airlines (EGS)
F100ELG,Alpi Eagles (ELG)
F100EMI,Emisphair VA (EMI)
F100EUY,EU Jet (EUY)
F100FOS,Formosa Airlines (FOS)
F100GJT,Girjet (GJT)
F100GMI,Germania (GMI)
F100GWG,German Airwings VA (GWG)
F100HLX,Hapag Lloyed Express (HLX)
F100IRA,Iran Air (IRA)
F100IRA2,Iran Air (old colors - white with blue strip) (IRA)
F100IRC,Iran Aseman Airline (IRC)
F100IRQ,Qeshm Airlines (IRQ)
F100ITF,AIR INTER VA (ITF)
F100JAB,Air Bagan (JAB)
F100JAF,JetAirFly (Beauty) (JAF)
F100JGO,JetGo Australia (JGO)
F100JGO2,JetGo (Mastercard logo jet) (JGO)
F100JKK,Spanair (JKK)
F100KAL,Korean Airlines (KAL)
F100KIS,Contact Air (KIS)
F100KLC,KLM CityHopper (KLC)
F100KLC2,KLM CityHopper (old painting) (KLC)
F100KLC3,KLM CityHopper (white fuselage) (KLC)
F100KLM,KLM Royal Dutch Airlines (KLM)
F100KRP,CARPATAIR (KRP)
F100LAM,Linhas Aereas de Mocambique (LAM)
F100LBW,Albatros Airways (LBW)
F100LVB,IRS Airlines (LVB)
F100MDA,Mandarin Airlines (MDA)
F100MED,Mediterranea Virtual Airlines (MED)
F100MGX,Montenegro Airlines (2013) (MGX)
F100MGX2,Montenegro Airlines (2012) (MGX)
F100MJF,MJet (MJF)
F100MLI,Mais Linhas Aereas (MLI)
F100MMA,MAI Myanmar Airways International (MMA)
F100MNG,Aero Mongolia (MNG)
F100MXA,Mexicana (MXA)
F100NNY,Network Aviation (NNY)
F100OAW,Helvetic Airways (pink painting) (OAW)
F100OAW2,Helvetic Airways (white with red tail) (OAW)
F100OLT,OLT Express Germany (OLT)
F100OLT2,OLT Express Germany (Jetair) (OLT)
F100OLT3,OLT Express Germany (Star Alliance) (OLT)
F100ONE,Avianca Brasil (ONE)
F100ONE2,Avianca Brasil (OceanAir old livery - flag colors on tail) (ONE)
F100OSE,Aeroservice VA (OSE)
F100PAS,Pelita Air (PAS)
F100PGA,Portugalia (PGA)
F100PST,Air Panama (PST)
F100QQA,Alliance Airlines (QQA)
F100SGU,Sol del Paraguay (SGU)
F100SLL,Slovak Airlines (SLL)
F100SSR,Sempati Air (SSR)
F100SWR,Swiss International Airlines (SWR)
F100TAM,TAM - Linhas Aereas (TAM)
F100TAM2,TAM - Linhas Aereas (old painting - white tail and engine) (TAM)
F100TDR,Trade Air (SunAdria) (TDR)
F100TDR2,Trade Air (TDR)
F100TYR,Tyrolean Airways (TYR)
F100TYR2,Tyrolean Airways (Kronen Zeitung) (TYR)
F100TYR3,Tyrolean Airways (Star Alliance - white tail) (TYR)
F100TYR4,Tyrolean Airways (Austrian Ski Team) (TYR)
F100TYR5,Tyrolean Airways (Star Alliance - black tail) (TYR)
F100VEP,Vesper Linhas Aereas VA (VEP)
F100VOZ,Virgin Australia (VOZ)
F100WFX,Westfalia Express VA (WFX)
F100WOH,woh|group VA (WOH)
F104,German Air Force (GAF)
F106,Default (US Air Force)
F117@UL,US Air Force
F14 @IR,Iran Air Force (1979 colors)
F14 @IR2,Iran Air Force (2007 colors)
F14 @NA,NASA
F14 @UN,United States Navy (@UN)
F14 @UN2,United States Navy (@UN)
F14 @UN3,United States Navy (@UN)
F14 @UN4,United States Navy (VF-194)
F14 @UN5,United States Navy (VF-2)
F14 @UN6,United States Navy (VF-31)
F14 @UN7,United States Navy (Playboy Bunny)
F15 @UL,United States Air Force (AK 12FS)
F15 @UL2,United States Air Force (AK 3WG)
F15 @UL3,United States Air Force (AK 19FS)
F15 IAF,Israeli Air Force (259) (IAF)
F15 IAF2,Israeli Air Force (133 Sqn) (IAF)
F15 IAF3,Israeli Air Force (106 Sqn) (IAF)
F15 RSF,Royal Saudi Air Force (RSF)
F16,Lockheed F16
F16 @CA,Chilean Air Force
F16 @ID,Indonesian Air Force
F16 @ID2,Indonesian Air Force (twin seat)
F16 @KA,Republic of Korea Air Force
F16 @KA2,Republic of Korea Air Force (twin seat)
F16 @RA,Royal Oman Air Force
F16 @RB,Royal Bahraini Air Force (1 sqn)
F16 @RB2,Royal Bahraini Air Force (1 sqn - twin seat)
F16 @UL,United States Air Force (64 sqn - Blue Camo)
F16 @UL2,United States Air Force (22 sqn - Spangdahlem)
F16 @ULCAM,United States Air Force (64 sqn - Brown Camo)
F16 @ULTBI,United States Air Force (Thunderbirds)
F16 @UN,United States Navy (NSAWC - Blue Camo)
F16 @UN2,United States Navy (NSAWC - Grey Camo)
F16 AFP,Portuguese Air Force (201 sqn) (AFP)
F16 AFP2,Portuguese Air Force (301 Sqn Tiger) (AFP)
F16 AFP3,Portuguese Air Force (301 sqn - twin seat) (AFP)
F16 BAF,Belgian Air Force (BAF)
F16 BAF2,Belgian Air Force (FB-17) (Twin Seat) (BAF)
F16 BAF3,Belgian Air Force (Spitfire Tail) (BAF)
F16 BAF4,Belgian Air Force (Tiger) (BAF)
F16 BAF5,Belgian Air Force (FB-24) (Twin Seat) (BAF)
F16 BAF6,Belgian Air Force (Display) (BAF)
F16 DAF,Danish Air Force (DAF)
F16 DAF2,Danish Air Force (twin seat) (DAF)
F16 EGY,Egyptian Air Force (EGY)
F16 FAV,Venezuela Air Force (FAV)
F16 FAV2,Venezuela Air Force (Twin Seat) (FAV)
F16 HAF,Hellenic Air Force (110CW 337SQN Ghost) (HAF)
F16 HAF10,Hellenic Air Force (115CW 340SQN Fox) (twin seat) (HAF)
F16 HAF11,Hellenic Air Force (115CW 343SQN Star) (HAF)
F16 HAF12,Hellenic Air Force (115CW 343SQN Star) (twin seat) (HAF)
F16 HAF2,Hellenic Air Force (110CW 337SQN Ghost) (twin seat) (HAF)
F16 HAF3,Hellenic Air Force (111CW 330SQN Thunder) (HAF)
F16 HAF4,Hellenic Air Force (111CW 330SQN Thunder) (twin seat) (HAF)
F16 HAF5,Hellenic Air Force (111CW 341SQN Arrow) (HAF)
F16 HAF6,Hellenic Air Force (111CW 341SQN Arrow) (twin seat) (HAF)
F16 HAF7,Hellenic Air Force (111CW 347SQN Perseus) (HAF)
F16 HAF8,Hellenic Air Force (111CW 347SQN Perseus) (twin seat) (HAF)
F16 HAF9,Hellenic Air Force (115CW 340SQN Fox) (HAF)
F16 HVK,Turkish Air Force (192 sqn) (HVK)
F16 HVK2,Turkish Air Force (161 sqn) (HVK)
F16 HVK3,Turkish Air Force (142 sqn) (HVK)
F16 IAF,Israeli Air Force (101 sqn) (IAF)
F16 IAF2,Israeli Air Force (601 sqn) (IAF)
F16 IAF3,Israeli Air Force (117 sqn) (IAF)
F16 IAF4,Israeli Air Force (107 sqn) (IAF)
F16 IAM,Italian Air Force (37 sqn) (IAM)
F16 IAM2,Italian Air Force (5 sqn) (IAM)
F16 IAM3,Italian Air Force (black/green) (IAM)
F16 IAM4,Italian Air Force (white/red) (IAM)
F16 IAM5,Italian Air Force (black/yellow) (IAM)
F16 NAF,Royal Netherlands Air Force (322 sqn) (NAF)
F16 NAF2,Royal Netherlands Air Force (311 sqn) (NAF)
F16 NAF3,Royal Netherlands Air Force (Springfield AB) (NAF)
F16 NAF4,Royal Netherlands Air Force (312 sqn) (NAF)
F16 NAF5,Royal Netherlands Air Force (323 sqn) (NAF)
F16 NAF6,Royal Netherlands Air Force (313 sqn) (NAF)
F16 NAF7,Royal Netherlands Air Force (312 sqn - twin seat) (NAF)
F16 NAFDEM,Royal Netherlands Air Force (Display Old) (NAF)
F16 NAFDM2,Royal Netherlands Air Force (Display 2014) (NAF)
F16 NAFJUM,Royal Netherlands Air Force (Orange Jumper) (NAF)
F16 PLF,Polish Air Force (PLF)
F16 PLF2,Polish Air Force (twin seat) (PLF)
F16 SAF,Republic of Singapore Air Force (140 sqn) (SAF)
F16 SAF2,Republic of Singapore Air Force (143 sqn) (SAF)
F16 SAF3,Republic of Singapore Air Force (Black Nights) (SAF)
F16 UAF,United Arab Emirates Air Force (UAF)
F16 WTG,Wild Tigers SOG VA (WTG)
F18 @UN,United States Navy - Blue Angels
F18 @UNLI1,F18 NAVY V.1 (black tail wings)
F18 @UNLI2,F18 NAVY V.2 (black tail wings/red strips)
F18 @UNLI3,F18 NAVY V.3 (grey tail wings)
F18 AME,Spanish Air Force (12-19) (AME)
F18 AME2,Spanish Air Force (46-07) (AME)
F18 AME3,Spanish Air Force (15-19) (AME)
F22 @UL,United States Air Force (Nellis AFB)
F22 @UL2,United States Air Force (Langley AFB)
F22 @UL3,United States Air Force (Elmendorf AFB)
F22 @UL4,United States Air Force (Tyndall AFB)
F27 @JH,Pan Adria
F27 AFS,Senegal Air Force VA (AFS)
F27 ANA,All nippon Airways (ANA)
F27 ITF,AIR INTER VA (ITF)
F27 SUG,Sunu Air (SUG)
F27 TAA,Trans Australian (TAA)
F28 @FC,Fuerza Aerea Colombiana (@FC)
F28 ARG,Aerolineas Argentinas (ARG)
F28 GHS,Gatari Hutama Air Services (GHS)
F28 GIA,Garuda Indonesia (GIA)
F28 ICD,ICARO (ICD)
F28 IRC,Iran Asseman Airlines (IRC)
F28 LAA,Jamahiriya Libyan Arab Airlines (LAA)
F28 LDE,LADE - Lineas Aereas del Estado (LDE)
F28 MGX,Montenegro Airlines (MGX)
F28 NGA,Nigeria Airways (NGA)
F28 QXE,Horizon (QXE)
F28 TAE,Transportes Aereos Militares Ecuatorianos (TAE)
F28 THE,Toumai Air Chad (THE)
F28 VUN,Air Ivoire (VUN)
F2TH,Dassault Aviation (DAB)
F2THFAF,French Air Force (FAF)
F2THZZZ,Privately Owned (G-LATE)
F2THZZZ2,Privately Owned (D-BERT)
F2THZZZ3,Privately Owned (OE-HKK)
F2THZZZ4,Privately Owned (N88HE)
F2THZZZ5,Privately Owned (N377SC)
F2THZZZ6,Privately Owned (EC-JXR)
F35,Default (US Air Force)
